date,mise_stars,asdf_stars,hk_stars,just_stars
2018-08-31,0,3323,0,585
2018-09-01,0,3326,0,30048
2018-09-02,0,3329,0,30048
2018-09-03,0,3332,0,586
2018-09-04,0,3337,0,587
2018-09-05,0,3340,0,588
2018-09-06,0,3346,0,30048
2018-09-07,0,3348,0,592
2018-09-08,0,3350,0,594
2018-09-09,0,3356,0,30048
2018-09-10,0,3358,0,596
2018-09-11,0,3366,0,30048
2018-09-12,0,3373,0,597
2018-09-13,0,3378,0,598
2018-09-14,0,3382,0,602
2018-09-15,0,3384,0,30048
2018-09-16,0,3387,0,30048
2018-09-17,0,3394,0,30048
2018-09-18,0,3398,0,604
2018-09-19,0,3401,0,30048
2018-09-20,0,3407,0,30048
2018-09-21,0,3413,0,606
2018-09-22,0,3415,0,608
2018-09-23,0,3416,0,609
2018-09-24,0,3425,0,30048
2018-09-25,0,3429,0,30048
2018-09-26,0,3435,0,30048
2018-09-27,0,3442,0,30048
2018-09-28,0,3453,0,611
2018-09-29,0,3457,0,612
2018-09-30,0,3458,0,30048
2018-10-01,0,3460,0,30048
2018-10-02,0,3469,0,614
2018-10-03,0,3474,0,615
2018-10-04,0,3480,0,616
2018-10-05,0,3485,0,30048
2018-10-06,0,3485,0,617
2018-10-07,0,3487,0,30048
2018-10-08,0,3490,0,30048
2018-10-09,0,3494,0,30048
2018-10-10,0,3501,0,618
2018-10-11,0,3507,0,620
2018-10-12,0,3511,0,30048
2018-10-14,0,3515,0,621
2018-10-15,0,3520,0,622
2018-10-16,0,3524,0,30048
2018-10-17,0,3526,0,623
2018-10-18,0,3540,0,624
2018-10-19,0,3553,0,30048
2018-10-20,0,3560,0,30048
2018-10-21,0,3579,0,30048
2018-10-22,0,3610,0,30048
2018-10-23,0,3626,0,626
2018-10-24,0,3638,0,30048
2018-10-25,0,3645,0,627
2018-10-26,0,3652,0,628
2018-10-27,0,3660,0,30048
2018-10-28,0,3663,0,30048
2018-10-29,0,3667,0,630
2018-10-30,0,3676,0,30048
2018-10-31,0,3680,0,30048
2018-11-01,0,3685,0,631
2018-11-02,0,3689,0,632
2018-11-03,0,3694,0,30048
2018-11-05,0,3701,0,633
2018-11-06,0,3706,0,637
2018-11-07,0,3715,0,30048
2018-11-08,0,3724,0,30048
2018-11-09,0,3728,0,639
2018-11-10,0,3734,0,30048
2018-11-11,0,3738,0,30048
2018-11-12,0,3749,0,30048
2018-11-13,0,3752,0,30048
2018-11-14,0,3761,0,640
2018-11-15,0,3768,0,30048
2018-11-16,0,3772,0,30048
2018-11-17,0,3773,0,641
2018-11-18,0,3778,0,643
2018-11-19,0,3790,0,649
2018-11-20,0,3796,0,655
2018-11-21,0,3803,0,656
2018-11-22,0,3808,0,30048
2018-11-23,0,3812,0,30048
2018-11-24,0,3814,0,657
2018-11-25,0,3816,0,30048
2018-11-26,0,3822,0,658
2018-11-27,0,3827,0,659
2018-11-28,0,3833,0,661
2018-11-29,0,3844,0,664
2018-11-30,0,3846,0,669
2018-12-01,0,3849,0,30048
2018-12-02,0,3854,0,672
2018-12-03,0,3855,0,30048
2018-12-04,0,3863,0,30048
2018-12-05,0,3870,0,674
2018-12-06,0,3873,0,675
2018-12-07,0,3877,0,678
2018-12-08,0,3877,0,680
2018-12-09,0,3880,0,681
2018-12-10,0,3883,0,30048
2018-12-11,0,3888,0,30048
2018-12-12,0,3894,0,682
2018-12-13,0,3899,0,30048
2018-12-14,0,3903,0,30048
2018-12-15,0,3905,0,30048
2018-12-16,0,3908,0,30048
2018-12-17,0,3914,0,683
2018-12-18,0,3919,0,30048
2018-12-19,0,3924,0,30048
2018-12-20,0,3928,0,30048
2018-12-21,0,3932,0,684
2018-12-22,0,3935,0,30048
2018-12-23,0,3938,0,30048
2018-12-24,0,3945,0,30048
2018-12-25,0,3946,0,30048
2018-12-26,0,3949,0,30048
2018-12-27,0,3955,0,30048
2018-12-28,0,3960,0,685
2018-12-29,0,3963,0,30048
2018-12-31,0,3967,0,687
2019-01-01,0,3969,0,30048
2019-01-02,0,3976,0,30048
2019-01-03,0,3982,0,30048
2019-01-04,0,3987,0,30048
2019-01-05,0,3992,0,30048
2019-01-06,0,3995,0,691
2019-01-07,0,3996,0,30048
2019-01-08,0,4005,0,692
2019-01-09,0,4014,0,30048
2019-01-10,0,4017,0,30048
2019-01-11,0,4019,0,693
2019-01-12,0,4020,0,694
2019-01-13,0,4025,0,695
2019-01-14,0,4027,0,30048
2019-01-15,0,4034,0,696
2019-01-16,0,4042,0,697
2019-01-17,0,4046,0,698
2019-01-18,0,4055,0,30048
2019-01-19,0,4058,0,699
2019-01-20,0,4061,0,702
2019-01-21,0,4069,0,704
2019-01-22,0,4074,0,707
2019-01-23,0,4078,0,711
2019-01-24,0,4154,0,712
2019-01-25,0,4171,0,714
2019-01-26,0,4180,0,715
2019-01-27,0,4184,0,716
2019-01-28,0,4193,0,717
2019-01-29,0,4208,0,719
2019-01-30,0,4216,0,720
2019-01-31,0,4225,0,30048
2019-02-01,0,4229,0,721
2019-02-02,0,4233,0,722
2019-02-03,0,4234,0,723
2019-02-04,0,4244,0,725
2019-02-05,0,4252,0,30048
2019-02-06,0,4254,0,30048
2019-02-07,0,4262,0,726
2019-02-08,0,4264,0,727
2019-02-09,0,4265,0,30048
2019-02-10,0,4266,0,728
2019-02-11,0,4271,0,30048
2019-02-12,0,4282,0,30048
2019-02-13,0,4292,0,30048
2019-02-14,0,4298,0,30048
2019-02-15,0,4303,0,729
2019-02-16,0,4310,0,30048
2019-02-17,0,4315,0,30048
2019-02-18,0,4326,0,30048
2019-02-19,0,4330,0,30048
2019-02-20,0,4339,0,730
2019-02-21,0,4342,0,30048
2019-02-22,0,4347,0,30048
2019-02-24,0,4354,0,732
2019-02-25,0,4360,0,30048
2019-02-26,0,4365,0,30048
2019-02-27,0,4369,0,30048
2019-02-28,0,4376,0,30048
2019-03-01,0,4382,0,30048
2019-03-02,0,4384,0,30048
2019-03-03,0,4387,0,30048
2019-03-04,0,4392,0,733
2019-03-05,0,4403,0,734
2019-03-06,0,4411,0,735
2019-03-07,0,4416,0,737
2019-03-08,0,4420,0,740
2019-03-09,0,4423,0,30048
2019-03-10,0,4427,0,741
2019-03-11,0,4433,0,743
2019-03-12,0,4444,0,30048
2019-03-13,0,4454,0,746
2019-03-14,0,4464,0,751
2019-03-15,0,4469,0,30048
2019-03-16,0,4473,0,752
2019-03-17,0,4474,0,754
2019-03-18,0,4481,0,759
2019-03-19,0,4488,0,30048
2019-03-20,0,4491,0,30048
2019-03-21,0,4503,0,30048
2019-03-22,0,4511,0,760
2019-03-23,0,4515,0,30048
2019-03-24,0,4516,0,761
2019-03-25,0,4526,0,30048
2019-03-26,0,4531,0,762
2019-03-27,0,4537,0,765
2019-03-28,0,4547,0,30048
2019-03-29,0,4553,0,30048
2019-03-30,0,4560,0,30048
2019-03-31,0,4564,0,30048
2019-04-01,0,4570,0,30048
2019-04-02,0,4575,0,767
2019-04-03,0,4577,0,771
2019-04-04,0,4582,0,772
2019-04-05,0,4584,0,30048
2019-04-06,0,4589,0,773
2019-04-07,0,4591,0,30048
2019-04-08,0,4598,0,30048
2019-04-09,0,4606,0,775
2019-04-10,0,4611,0,30048
2019-04-11,0,4614,0,776
2019-04-12,0,4617,0,777
2019-04-13,0,4621,0,779
2019-04-14,0,4626,0,30048
2019-04-15,0,4630,0,781
2019-04-16,0,4634,0,791
2019-04-17,0,4638,0,794
2019-04-18,0,4642,0,796
2019-04-19,0,4645,0,797
2019-04-20,0,4647,0,798
2019-04-21,0,4650,0,30048
2019-04-22,0,4657,0,30048
2019-04-23,0,4662,0,801
2019-04-24,0,4666,0,802
2019-04-25,0,4667,0,816
2019-04-26,0,4675,0,843
2019-04-27,0,4677,0,846
2019-04-28,0,4678,0,30048
2019-04-29,0,4682,0,855
2019-04-30,0,4684,0,862
2019-05-01,0,4690,0,865
2019-05-02,0,4702,0,874
2019-05-03,0,4711,0,877
2019-05-04,0,4715,0,878
2019-05-05,0,4715,0,30048
2019-05-06,0,4722,0,30048
2019-05-07,0,4728,0,880
2019-05-08,0,4730,0,882
2019-05-09,0,4733,0,885
2019-05-10,0,4738,0,886
2019-05-11,0,4741,0,30048
2019-05-12,0,4743,0,887
2019-05-13,0,4749,0,30048
2019-05-14,0,4759,0,888
2019-05-15,0,4764,0,30048
2019-05-16,0,4771,0,889
2019-05-17,0,4776,0,890
2019-05-18,0,4778,0,30048
2019-05-19,0,4780,0,891
2019-05-20,0,4787,0,898
2019-05-21,0,4795,0,902
2019-05-22,0,4799,0,903
2019-05-23,0,4804,0,907
2019-05-24,0,4808,0,908
2019-05-25,0,4809,0,30048
2019-05-26,0,4812,0,912
2019-05-27,0,4821,0,913
2019-05-28,0,4824,0,30048
2019-05-29,0,4831,0,915
2019-05-30,0,4835,0,920
2019-05-31,0,4840,0,923
2019-06-01,0,4843,0,924
